id,key,value,type
51714936,name,Rua São Paulo,way
51714936,note,classificada cfe plano diretor,way
51714936,oneway,yes,way
51714936,parking:lane:both,no_stopping,way
51714936,sidewalk,right,way
51714936,surface,asphalt,way
51714936,turn:lanes,right,way
51714938,highway,tertiary,way
51714938,name,Rua Presidente Getúlio Vargas,way
51714938,note,classificada cfe plano diretor,way
51714938,oneway,yes,way
51714938,parking:condition:both,ticket,way
51714938,parking:condition:both:maxstay,2 h,way
51714938,parking:condition:both:time_interval,Mo-Fr 08:00-18:00;Sa 08:00-12:00,way
51714938,parking:lane:both,parallel,way
51714938,sidewalk,both,way
51714938,surface,sett,way
51714940,driving_side,left,way
51714940,highway,tertiary,way
51714940,lanes,3,way
51714940,lanes:backward,1,way
51714940,lanes:forward,2,way
51714940,loc_name,Rua da Antiga Casa Royal,way
51714940,name,Rua Namy Deeke,way
51714940,note,classificada cfe plano diretor,way
51714940,old_name,Rua Brusque,way
51714940,parking:lane:both,no_stopping,way
51714940,sidewalk,both,way
51714940,surface,asphalt,way
51714941,destination,Victor Konder;Centro,way
51714941,highway,primary,way
51714941,lanes,3,way
51714941,maxspeed,50,way
51714941,name,Rua São Paulo,way
51714941,note,classificada cfe plano diretor,way
51714941,oneway,yes,way
51714941,parking:lane:both,no_stopping,way
51714941,sidewalk,left,way
51714941,source:highway,schema_br2013,way
51714941,surface,asphalt,way
51714941,turn:lanes,through;left|through|through,way
51714944,destination,Velha;Vila Germânica,way
51714944,highway,secondary,way
51714944,lanes,2,way
51714944,name,Rua Indaial,way
51714944,note,classificada cfe plano diretor,way
51714944,oneway,yes,way
51714944,parking:lane:both,no_stopping,way
51714944,sidewalk,both,way
51714944,surface,asphalt,way
51714944,turn:lanes,through;left|through,way
51714946,bus:lanes,designated|yes|yes|yes|yes,way
51714946,busway:left,lane,way
51714946,hgv,no,way
51714946,highway,primary,way
51714946,lanes,5,way
51714946,lanes:bus,1,way
51714946,maxspeed,50,way
51714946,name,Rua Humberto de Campos,way
51714946,note,classificada cfe plano diretor,way
51714946,oneway,yes,way
51714946,parking:lane:both,no_stopping,way
51714946,sidewalk,no,way
51714946,source:highway,schema_br2013,way
51714946,surface,asphalt,way
51714946,turn:lanes,through|through|through|through;right|right,way
51714949,highway,primary,way
51714949,lanes,2,way
51714949,maxspeed,50,way
51714949,name,Rua Antônio da Veiga,way
51714949,note,classificada cfe plano diretor,way
51714949,oneway,yes,way
51714949,parking:lane:both,no_stopping,way
51714949,sidewalk,right,way
51714949,source:highway,schema_br2013,way
51714949,surface,asphalt,way
51714949,turn:lanes,left|through;left,way
51714951,highway,primary,way
51714951,lanes,3,way
51714951,maxspeed,50,way
51714951,name,Rua Antônio da Veiga,way
51714951,note,classificada cfe plano diretor,way
51714951,oneway,yes,way
51714951,parking:lane:both,no_stopping,way
51714951,sidewalk,right,way
51714951,source:highway,schema_br2013,way
51714951,surface,asphalt,way
51714951,turn:lanes,left;reverse|left|through,way
51714952,highway,tertiary,way
51714952,lanes,1,way
51714952,name,Rua Victor Konder,way
51714952,note,classificada cfe plano diretor,way
51714952,oneway,yes,way
51714952,parking:lane:both,no_stopping,way
51714952,sidewalk,both,way
51714952,source:highway,schema_br2013,way
51714952,surface,sett,way
51714954,bus,no,way
51714954,goods,no,way
51714954,hgv,no,way
51714954,highway,service,way
51714954,maxweight,4,way
51714954,name,Travessa Flores Filho,way
51714954,narrow,yes,way
51714954,oneway,yes,way
51714954,parking:lane:both,no_stopping,way
51714954,service,alley,way
51714954,sidewalk,both,way
51714954,surface,sett,way
51714956,bus:lanes,yes|yes|designated,way
51714956,busway:right,lane,way
51714956,highway,primary,way
51714956,lanes,3,way
51714956,lanes:bus,1,way
51714956,maxspeed,50,way
51714956,name,Avenida Martin Luther,way
51714956,note,classificada cfe plano diretor,way
51714956,oneway,yes,way
51714956,parking:lane:both,no_stopping,way
51714956,sidewalk,left,way
51714956,source:highway,schema_br2013,way
51714956,surface,asphalt,way
51835268,highway,residential,way
51835268,maxspeed,40,way
51835268,name,Rua Ayres Gama,way
51835268,oneway,yes,way
51835268,parking:condition:right,free,way
51835268,parking:lane:left,no_parking,way
51835268,parking:lane:right,parallel,way
51835268,sidewalk,both,way
51835268,surface,asphalt,way
51835269,highway,tertiary,way
51835269,lanes,2,way
51835269,name,Rua Padre Roberto Landell de Moura,way
51835269,note,classificada cfe plano diretor,way
51835269,oneway,yes,way
51835269,parking:condition:right,ticket,way
